id	release	section	summary	text_sha1	verification	status
BACKEND-002	F0	18.2	Embedded NUL, high-bit bytes, empty values, and maximum boundary values SHALL be	30879c523e13	Fixture inventory lint.	todo
BACKEND-003	R0.1	18.2	Pure and accelerated implementations SHALL be selectable in tests and SHALL pass	ca82289be9c8	Implementation matrix.	todo
BACKEND-004	R0.2	18.2	Allocation-failure injection SHALL exist on both backends with equivalent typed 	f733e6f4fdec	Fault-injection parity test.	todo
BACKEND-005	R0.3	18.2	Generated C SHALL compile with warnings-as-errors under the supported C compiler	7ee369becc49	CI compiler/sanitizer jobs.	todo
BACKEND-006	R0.3	18.2	The VM SHALL fail closed on malformed bytecode, invalid handles, or out-of-range	e8c2de5ddf64	Negative bytecode/runtime tests.	todo
BACKEND-007	R1	18.2	Every release SHALL publish the exact toolchain revisions, target triples, compi	5a8714e67381	Release evidence schema.	todo
BACKEND-008	F0	18.2	A contract clause that the selected backend cannot lower SHALL produce a diagnos	5f858f5456b4	Advanced-contract negative and report tests.	todo
BACKEND-009	F0	18.2	Every backend result cited for a normative requirement SHALL be hard-failing. Ad	4c1b1d56b922	Gate-policy lint and injected VM mismatch test.	todo
SEC-001	F0	19	Safe APIs SHALL prevent out-of-bounds reads and writes for every constructible i	a580203ede31	Contracts, fuzzing, guard pages, ASan/UBSan, and VM negative tests.	todo
SEC-002	F0	19	Length/capacity calculations SHALL use checked addition, subtraction, and multip	2e52865c1d5b	Overflow corpus and static scan.	todo
SEC-003	R0.1	19	Operations with insufficient capacity SHALL fail before modification unless thei	f0213200ce83	Failure-atomicity and truncation fixtures.	todo
SEC-004	R0.1	19	Safe overlap behavior SHALL be deterministic; no safe path may reach C undefined	41fadc748eb1	Exhaustive overlap tests and sanitizers.	todo
SEC-005	R0.2	19	Invalid UTF-8 SHALL never enter an owned string through this library. Lossy conv	090148c2253f	Invalid corpus and type-invariant tests.	todo
SEC-006	R0.2	19	CStr/CString constructors SHALL prevent unterminated or interior-NUL values from	d747bfe91097	Constructor negative suite.	todo
SEC-007	R0.2	19	Tokenization and searching SHALL have documented worst-case complexity and SHALL	fadbeeb6bf78	Complexity benchmarks and adversarial inputs.	todo
SEC-008	R0.2	19	Allocation failures SHALL be typed and leak-free. Tests SHALL inject failure at 	a0ea1dcddb07	Fail-at-N allocation suite.	todo
SEC-009	R0.3	19	Compatibility adapters SHALL convert C UB preconditions into safe type constrain	52bd89c0cc95	Per-matrix-row hazard review.	todo
SEC-010	R0.3	19	fill_explicit SHALL not claim to clear registers, caches, swap, previous copies,	48448cac7308	Security documentation review.	todo
SEC-011	R0.4	19	Locale and message adapters SHALL be thread-safe for the declared profile or ret	b26d3e77417f	Thread sanitizer/concurrency tests where available.	todo
SEC-012	R1	19	Fuzz-discovered crashes, OOB behavior, leaks, or semantic divergences SHALL beco	7ef8f93e0b09	Regression provenance audit.	todo
SEC-013	R1	19	The exact-ABI profile, if enabled, SHALL be excluded from safe-code guarantees a	93f07389c036	Unsafe API documentation coverage.	todo
SEC-014	R1	19	No test shall rely on a crash as the successful handling of a recoverable error;	b1c22716ae68	Test-pattern lint.	todo
PERF-001	R0.1	20	Single-pass length, compare, copy, fill, and byte-search operations SHALL be O(n	962be9ff5fad	Operation-count benchmarks.	todo
PERF-002	R0.1	20	find_slice SHALL document its chosen algorithm and worst-case complexity. A naiv	7c767806854c	Adversarial repeated-prefix benchmark.	todo
PERF-003	R0.2	20	strings_cstr::len SHALL be O(1) after validation; validation itself SHALL be O(n	dd1ecc7407e9	Instrumented scan count.	todo
PERF-004	R0.2	20	CString concatenation SHALL allocate at most once after checking the final lengt	b1eeb124eb18	Allocation counter.	todo
PERF-005	R0.2	20	Tokenization SHALL be O(n × membership-cost); the implementation SHOULD use a 25	4905e1f24f43	Operation-count benchmark.	todo
PERF-006	R0.3	20	Compatibility adapters SHALL not introduce an extra full scan when the safe type	01da733ece93	Call/scan instrumentation.	todo
PERF-007	R0.4	20	Locale transform operations MAY allocate according to host requirements but SHAL	7ec05f6fd6d5	Host adapter tests.	todo
PERF-008	R1	20	Benchmarks SHALL report input distribution, sizes, backend, compiler flags, warm	3c6e98094660	Benchmark schema lint.	todo
PERF-009	R1	20	No release gate SHALL require one backend to be faster than another; parity is s	86358c480a7c	Release checklist.	todo
TEST-001	F0	21.3	Every in-scope normative requirement SHALL map to at least one test ID or an exp	c5bdbeb7e344	Generated requirement matrix.	todo
TEST-002	F0	21.3	Every test SHALL map back to at least one requirement, acceptance scenario, or r	269c0854760c	Reverse-traceability lint.	todo
TEST-003	F0	21.3	Requirement, test, scenario, backlog, and fixture identifiers SHALL be unique wi	a02a7b1b877f	Structural validator.	todo
TEST-004	F0	21.3	Fixtures SHALL record source/provenance, standard version, generator version, an	e63c4931a723	Fixture schema validation.	todo
TEST-005	F0	21.3	Native C and canonical native VM SHALL run the same logical fixture IDs; separat	a2df0a0fe9a0	Fixture digest comparison.	todo
TEST-006	F0	21.3	Empty values, one-byte values, embedded zero, 0x80–0xFF, exact capacity, zero ca	15900ff92fe4	Fixture inventory lint.	todo
TEST-007	R0.1	21.3	Copy/move tests SHALL enumerate disjoint, identical, adjacent, left-overlap, rig	3367c9033159	Overlap-matrix completeness check.	todo
TEST-008	R0.1	21.3	Property tests using pseudo-random data SHALL use recorded seeds and print the s	f55b438a412d	Determinism rerun check.	todo
TEST-009	R0.2	21.3	UTF-8 tests SHALL cover 1/2/3/4-byte scalars, boundary scalars, overlong forms, 	034f7b9487f1	UTF-8 category inventory.	todo
TEST-010	R0.2	21.3	Borrow and ownership tests SHALL include compile-fail cases, use-after-move reje	347e4379e0fd	Compiler diagnostic and allocation suite.	todo
TEST-011	R0.2	21.3	Token tests SHALL interleave at least two cursors and run equivalent cases concu	819716464c61	State isolation test.	todo
TEST-012	R0.3	21.3	Differential C tests SHALL avoid invoking C UB; preconditions SHALL be validated	1d6d3fd84a78	Oracle harness review and sanitizer run.	todo
TEST-013	R0.3	21.3	Safe compatibility tests SHALL compare semantic values, not raw pointer addresse	52b326782dad	Test lint.	todo
TEST-014	R0.3	21.3	C backend tests SHALL run with warnings-as-errors and the supported sanitizer se	adaa26cfda20	CI evidence.	todo
TEST-015	R0.4	21.3	Locale tests SHALL pin locale identity and SHALL distinguish unavailable locale 	fe1df0f46a1e	Locale fixture schema.	todo
TEST-016	R0.4	21.3	Host message tests SHALL assert documented properties and error identity; exact 	aab97ed23923	Message-test review.	todo
TEST-017	R1	21.3	Fuzzing SHALL meet a recorded minimum corpus/iteration or time budget on both pu	83e238fb9062	Fuzz evidence manifest.	todo
TEST-018	R1	21.3	The full gate SHALL run from a clean checkout without network access using pinne	d698d9fade06	Offline clean-checkout release rehearsal.	todo
TEST-019	R1	21.3	Tests SHALL run in runtime, verified, and disabled contract modes where the tool	e41370b12dc4	Contract-mode matrix.	todo
TEST-020	R1	21.3	Release evidence SHALL contain zero unexplained skips, flaky retries, sanitizer 	e3b55d743e44	Fail-closed release audit.	todo
TEST-021	F0	21.3	The package runner SHALL execute the same serialized fixture identity and expect	c13d19e0eab4	Runner self-test, deliberate value mismatch, and fixture-ID digest comparison.	todo
GOV-001	F0	22.2	This SPEC.md SHALL be the governing product and engineering specification until 	369395c4c194	Repository documentation links.	todo
GOV-002	F0	22.2	Current-state claims SHALL cite exact audited revisions and source paths; source	9b97766b157c	Source audit checklist.	todo
GOV-003	F0	22.2	Implemented, specified, blocked, host-dependent, deferred, and excluded behavior	cb647eb4732c	Status-label lint.	todo
GOV-004	F0	22.2	A source disagreement SHALL become an explicit decision or upstream issue; imple	c72d68836948	Discrepancy register.	todo
GOV-005	F0	22.2	Stable IDs SHALL never be reused; retired IDs remain in the change log.	565c1638fbc1	ID history check.	todo
GOV-006	F0	22.2	Material changes to public semantics, errors, ownership, standards disposition, 	ae9e80d28841	Change checklist.	todo
GOV-007	R0.1	22.2	The standards, requirement, test, fixture, acceptance, and backlog catalogs SHAL	57abf507b125	Traceability validator.	todo
GOV-008	R0.3	22.2	Compatibility claims SHALL name the exact standard edition and profile; vague “C	23ec0ccb2b30	Documentation lint.	todo
GOV-009	R1	22.2	Release evidence SHALL be immutable, content-addressed, and retained for every s	ad7cf7d4d90e	Evidence storage audit.	todo
GOV-010	R1	22.2	A release exception SHALL name the waived requirement, approver, rationale, expi	9676f24edef8	Exception schema and release audit.	todo
GOV-011	F0	22.2	Examples SHALL be labeled Audited, Demonstrated, or Specified; examples that req	1620ae9dc3d0	Example-label lint.	todo
GOV-012	R1	22.2	Documentation and tests SHALL state whether behavior is bytewise, ASCII, UTF-8, 	2b067c8f6bdb	Semantic-domain coverage lint.	todo
GOV-013	F0	22.2	A sibling library's tag, gate name, self-classification, or passing suite SHALL 	a921ad963de0	Evidence-boundary review and source-path traceability.	todo
DOC-001	F0	22.4	Every public function SHALL document its semantic domain (bytes, UTF-8, CStr, AS	f05b6898c743	Public documentation coverage lint.	todo
DOC-002	F0	22.4	README.md SHALL state current implementation tier, supported releases/backends/p	7aa2a3399f37	Release documentation checklist.	todo
DOC-003	R0.2	22.4	Examples SHALL include empty, embedded-NUL, non-ASCII UTF-8, invalid UTF-8, exac	f8c3bef49104	Example-category inventory.	todo
DOC-004	R0.3	22.4	docs/compatibility.md SHALL be generated from Appendix A/catalog data and SHALL 	875b52491472	Generated-file digest/rebuild test.	todo
DOC-005	R0.3	22.4	Unsafe/ABI documentation SHALL state every caller obligation and corresponding s	cd30e348ca5b	Unsafe API documentation lint.	todo
DOC-006	R0.4	22.4	Locale and host-message documentation SHALL name supported targets/locales and d	33c1c6516ba4	Host-profile documentation review.	todo
DOC-007	R1	22.4	The changelog SHALL identify every public contract, error, ownership, standards-	c26745028a25	Changelog completeness review.	todo
LIC-001	F0	22.4	Implementation release SHALL be blocked until maintainers record an explicit sou	0431186fe635	Decision record and license files.	todo
LIC-002	F0	22.4	Every source, fixture, generated artifact, and copied snippet SHALL carry or inh	d7cd60099c45	SPDX/REUSE-style structural lint.	todo
LIC-003	F0	22.4	Standards wording SHALL be paraphrased except for short necessary interface name	771d0ece26ab	Provenance and licensing review.	todo
LIC-004	R0.1	22.4	Third-party UTF-8, fuzz, and differential fixtures SHALL record source URL, vers	96c7067c3347	Fixture provenance schema.	todo
LIC-005	R1	22.4	Release artifacts SHALL include all required license texts, dependency notices, 	442359834e4b	Release artifact audit.	todo
